State,Incident Date,# Killed,# Injured
Michigan,"May 25, 2019",3,2
Virginia,"May 25, 2019",1,9
Maryland,"May 25, 2019",0,4
Oklahoma,"May 25, 2019",0,5
Oklahoma,"May 20, 2019",2,2
Louisiana,"May 20, 2019",1,4
Ohio,"May 20, 2019",0,4
Oregon,"May 19, 2019",0,5
Mississippi,"May 18, 2019",1,4
Alabama,"May 18, 2019",1,8
Iowa,"May 18, 2019",2,2
Indiana,"May 18, 2019",1,6
California,"May 18, 2019",1,4
Nebraska,"May 18, 2019",0,4
North Carolina,"May 18, 2019",2,4
California,"May 17, 2019",1,3
Ohio,"May 16, 2019",0,4
Louisiana,"May 15, 2019",0,4
California,"May 14, 2019",0,4
Louisiana,"May 13, 2019",0,4
Missouri,"May 13, 2019",4,1
Pennsylvania,"May 11, 2019",0,4
Pennsylvania,"May 10, 2019",0,5
Missouri,"May 10, 2019",0,6
Indiana,"May 8, 2019",0,4
Colorado,"May 7, 2019",1,8
New Jersey,"May 5, 2019",1,4
California,"May 5, 2019",0,6
Missouri,"May 4, 2019",1,4
Indiana,"May 4, 2019",0,4
California,"May 4, 2019",1,4
Delaware,"May 4, 2019",0,4
Texas,"May 3, 2019",1,3
Maryland,"May 3, 2019",0,5
Maryland,"May 3, 2019",0,4
Massachusetts,"May 1, 2019",1,3
North Carolina,"April 30, 2019",2,4
Tennessee,"April 28, 2019",0,7
Alabama,"April 28, 2019",0,4
Maryland,"April 28, 2019",1,7
Ohio,"April 28, 2019",4,0
Mississippi,"April 27, 2019",1,3
California,"April 27, 2019",1,3
California,"April 27, 2019",0,6
Pennsylvania,"April 21, 2019",0,4
Tennessee,"April 20, 2019",0,5
Texas,"April 20, 2019",0,4
Kansas,"April 19, 2019",0,4
Kentucky,"April 18, 2019",0,4
Maryland,"April 16, 2019",1,3
California,"April 14, 2019",0,4
Florida,"April 14, 2019",2,2
California,"April 14, 2019",1,3
California,"April 13, 2019",0,4
Illinois,"April 12, 2019",0,4
Maryland,"April 11, 2019",1,3
California,"April 11, 2019",1,4
Arizona,"April 11, 2019",3,2
Missouri,"April 9, 2019",1,3
Indiana,"April 7, 2019",2,2
North Carolina,"April 7, 2019",0,7
Delaware,"April 7, 2019",0,6
Louisiana,"April 7, 2019",0,4
Florida,"April 6, 2019",0,4
Illinois,"April 6, 2019",0,6
Florida,"April 4, 2019",1,3
Georgia,"April 4, 2019",3,2
Mississippi,"April 2, 2019",0,4
Kentucky,"April 2, 2019",0,5
Illinois,"March 31, 2019",1,4
Georgia,"March 31, 2019",1,4
South Carolina,"March 31, 2019",0,7
Maryland,"March 28, 2019",0,4
Nevada,"March 25, 2019",0,5
California,"March 24, 2019",1,5
Arizona,"March 24, 2019",0,7
Arizona,"March 19, 2019",2,4
Georgia,"March 17, 2019",0,4
Georgia,"March 17, 2019",1,3
Nevada,"March 17, 2019",0,4
New Jersey,"March 16, 2019",1,3
